Sentence,Score
"Operation Asha vs Shelly Batra on 5 August, 2025
                                                                             REPORTABLE
                             IN THE SUPREME COURT OF INDIA
                             CIVIL APPELLATE JURISDICTION
                              CIVIL APPEAL NO.",tensor(0.0837)
"10048 OF 2025
                          (Arising out of S.L.P (Civil) No.",tensor(0.4817)
"29830 of 2024)
                  OPERATION ASHA                                  …APPELLANT(S)
                                             VERSUS
                  SHELLY BATRA & ORS.",tensor(0.4694)
"…RESPONDENT(S)
                                        JUDGMENT
J.B. PARDIWALA, J.",tensor(0.4614)
"For the convenience of exposition, this judgment is divided into the following parts: -
I
N
D
E
X
 
A
.",tensor(0.4877)
"F
A
C
T
U
A
L
 
M
A
T
R
I
X
............................................................................................. 2 B.",tensor(0.4521)
"THE IMPUGNED
JUDGMENT ........................................................................ 15 C. SUBMISSIONS OF
THE PARTIES .................................................................. 18 i. Submissions on behalf
of the Appellant .......................................................... 18 ii.",tensor(0.3744)
"Submissions on behalf of
the respondent no.",tensor(0.5008)
1 .............................................. 22 iii.,tensor(0.6555)
"Submissions on behalf of the
respondent nos.",tensor(0.6785)
"3 and 4 .................................. 24 D. ISSUES FOR DETERMINATION
.................................................................... 25 E. ANALYSIS
............................................................................................................ 25 i.",tensor(0.6072)
"The Object
and purpose behind Section 92 of the CPC................................ 25 ii.",tensor(0.3554)
"Conditions to be
fulfilled for the applicability of Section 92 of the CPC .... 33 A.",tensor(0.4293)
"The trust being created
f o r  a  p u b l i c  p u r p o s e  o f  a  c h a r i t a b l e  o r  r e l i g i o u s  n a t u r e … .",tensor(0.6083)
.......................................................................................................... 36 I.,tensor(0.5881)
"Whether a
Society can be construed to be a ‘trust or a ‘constructive trust’?........",tensor(0.6169)
........................................................................................................ 37 a.,tensor(0.5964)
"Circumstances
Operation Asha vs Shelly Batra on 5 August, 2025
Indian Kanoon - http://indiankanoon.org/doc/103180344/
1
 u n d e r  w h i c h  t h e  c r e a t i o n  o f  a  t r u s t  h a s  b e e n  i n f e r r e d
................................................................................................................ 37 b.",tensor(0.5938)
