Sentence,PPL_Score,Semantic_Score,Context_Score,RRF_Fused
"A G R E E M E N T
This Agreement is made and entered into at Mumbai, and effective on this
__________ day of____________ of Two Thousand Eighteen.",0.4316541909311866,0.39798787,tensor(0.),0.040545254008804765
"BETWEEN
The Municipal Corporation of Greater Mumbai a body corporate having
perpetual  succession  and  a  common  seal  constituted  by the  Mumbai  Municipal
Corporation Act 1888, hereinafter referred to “MCGM” 
REPRESENTED BY 
Smt.",0.4707918465037907,0.1288791,tensor(0.4601),0.04061974061974062
"Nidhi Choudhari, Deputy Municipal Commissioner (Special), having
office  at  3rd Floor,  Annexe  Building,  Municipal  Head  Office,  Mahapalika  Marg,
Mumbai- 400001, hereinafter referred to as “DMC(Special)” (which expression shall
unless repugnant to the context or meaning thereof be deemed to mean and include
the successor or successors for the time being holding the office of the Deputy
Municipal Commissioner (Special)) of the First Part;
AND
Shri/ Smt.",0.28275774026802886,0.14627628,tensor(0.5031),0.028009901069669135
"________________________________, an Indian Inhabitant of
Mumbai, residing at ___________________________________________________,
having Sanad Registration No.",1.0,0.8436473,tensor(0.5349),0.03408650724227352
"________________________ of ___________  and
being the Member of _______________ Bar Association of the ____________ Court;
hereinafter referred to as  “Sr.",0.6951702340765292,0.6034459,tensor(0.5600),0.03488091560380717
"Panel Advocate”   (which expression shall unless
repugnant to the context or meaning thereof be deemed to mean and include his
1
 heirs, executors, administrators and assigns) of the Second Part;
WHEREAS the Municipal Commissioner for Greater Mumbai has interallia
deputed under Section 56 of the Mumbai Municipal Corporation Act, 1888 his powers,
functions and duties to the Deputy Municipal Commissioner (Special), for purpose of
this Agreement.",0.24552268300736238,0.06785799,tensor(0.5500),0.03558213716108453
AND  WHEREAS  the Municipal Commissioner vide its order under no.,0.264146480666113,0.19468866,tensor(0.6577),0.0371718813490451
"MGC/A/4503  dated  10.10.2017  had  accorded  sanction  for  Empanelment  of
Advocates for Sr. Panel (A, B and C) of MCGM, who have experience in handling
court matters in the Hon'ble Supreme Court of India and in the Hon'ble High Courts,
on behalf of MCGM.",0.2126742679698349,0.049595986,tensor(0.4909),0.03071946169772257
"AND  WHEREAS accordingly  the  MCGM  had  invited  Expression  of
Interests (EOIs) in the prescribed format through E-mail from eligible candidates for
Empanelment of Advocates for Sr. Panel 'A', 'B' & 'C' of MCGM for handling court
matters in the Hon'ble Supreme Court of India and in the Hon'ble High Courts on
behalf of MCGM.",0.4091301947386456,0.05640993,tensor(0.1812),0.03404789582486299
"AND WHEREAS the party of the Second Part  has shown willingness to
represent the MCGM as an Advocate of Sr. Panel (A / B / C / Supreme Court
Standing  Counsel  /  Advocate  on  Record)  for  the  MCGM,  and  has  submitted
Declaration to that effect, whereby agreeing to have read and understood the terms
and conditions of the empanelment as displayed on MCGM portal and to abide by the
same and to maintain absolute secrecy about the cases of MCGM as required under
the Act, Rules and Regulations there under.",0.20201607797124235,0.006033491,tensor(0.0929),0.03396481283511092
"AND WHEREAS it is felt prudent to utilize, the expertise and experience of
the party of the Second Part by empanelment as an Advocate of Sr. Panel (A / B / C /
Supreme Court Standing Counsel / Advocate on Record) for the MCGM
AND  WHEREAS the Municipal Commissioner vide its order under no.",0.28680436782560204,0.0133745335,tensor(0.3761),0.03825085589791472
MGC/F/6674 dtd.,0.24256357683516797,0.40802884,tensor(0.7543),0.0327712514630023
"25.06.2018 has granted sanction for lists of empaneled Advocates
of Sr. Panel (A, B, C, Supreme Court Standing Counsel, Advocate on Record) for
MCGM wherein the party of the Second Part is listed in Sr. Panel (A / B / C / Supreme
Court Standing Counsel / Advocate on Record) for the initial period for three years,
however subject to the satisfaction of MCGM.",0.28913739458158094,0.046547264,tensor(0.4159),0.032357471121599805
"AND WHEREAS  the party of the Second Part has agreed to accept the
Empanelment of Advocates for Sr. Panel (A / B / C / Supreme Court Standing
Counsel / Advocate on Record) for MCGM  subject to  the terms and conditions
hereinafter appearing.",0.2798922120715402,0.0,tensor(0.0066),0.035987109291504296
"2
 AND WHEREAS the party of the Second Part has agreed to comply with
the terms and conditions hereinafter appearing and is desirous of recording the same
subject to compliance of which the Empanelment as aforesaid has been approved by
the MCGM in favour of the party of the Second Part.",0.12356187505757706,0.15684798,tensor(0.1303),0.03589897497460523
"NOW THIS AGREEMENT WITNESSETH AND IT IS HEREBY AGREED BY AND
BETWEEN THE PARTIES HERETO AS FOLLOWS: -
1.",0.11823030632164237,0.36089343,tensor(0.2499),0.028583678225301758
"The parties hereto agree that the recitals enumerated herein above shall 
be deemed to form an integral and operative part of this Agreement as if 
the same were specifically set out and incorporated herein.",0.379634774436693,0.32855108,tensor(0.5257),0.0364301860545992
2.,0.0015071590391053272,0.72378886,tensor(0.8174),0.032293278926879596
"Definations-
2.1
'Advocate' means an advocate, entered in roll of advocates
under the provisions of The Advocates Act, 1961.",0.8311696028889954,0.091466956,tensor(0.6905),0.03572981823298413
"(The Act)
2.2
'Sr.",0.12806295647889074,0.27126077,tensor(0.7913),0.029017909189557607
