Sentence,Score
"Operation Asha vs Shelly Batra on 5 August, 2025
                                                                             REPORTABLE
                             IN THE SUPREME COURT OF INDIA
                             CIVIL APPELLATE JURISDICTION
                              CIVIL APPEAL NO.",0.09618605991756156
"10048 OF 2025
                          (Arising out of S.L.P (Civil) No.",0.13819752860532675
"29830 of 2024)
                  OPERATION ASHA                                  …APPELLANT(S)
                                             VERSUS
                  SHELLY BATRA & ORS.",0.07194301756174146
"…RESPONDENT(S)
                                        JUDGMENT
J.B. PARDIWALA, J.",0.1511466856153325
"For the convenience of exposition, this judgment is divided into the following parts: -
I
N
D
E
X
 
A
.",0.19121670079128958
"F
A
C
T
U
A
L
 
M
A
T
R
I
X
............................................................................................. 2 B.",0.17165798994897302
"THE IMPUGNED
JUDGMENT ........................................................................ 15 C. SUBMISSIONS OF
THE PARTIES .................................................................. 18 i. Submissions on behalf
of the Appellant .......................................................... 18 ii.",0.27314628742902597
"Submissions on behalf of
the respondent no.",0.15972222720282458
1 .............................................. 22 iii.,0.09457591591057621
"Submissions on behalf of the
respondent nos.",0.1830314427539464
"3 and 4 .................................. 24 D. ISSUES FOR DETERMINATION
.................................................................... 25 E. ANALYSIS
............................................................................................................ 25 i.",0.3666020556456863
"The Object
and purpose behind Section 92 of the CPC................................ 25 ii.",0.16224921163931885
"Conditions to be
fulfilled for the applicability of Section 92 of the CPC .... 33 A.",0.12152052740347931
"The trust being created
f o r  a  p u b l i c  p u r p o s e  o f  a  c h a r i t a b l e  o r  r e l i g i o u s  n a t u r e … .",0.05872309002130034
.......................................................................................................... 36 I.,0.16861898319508398
"Whether a
Society can be construed to be a ‘trust or a ‘constructive trust’?........",0.16005409614142238
........................................................................................................ 37 a.,0.10672201903662246
"Circumstances
Operation Asha vs Shelly Batra on 5 August, 2025
Indian Kanoon - http://indiankanoon.org/doc/103180344/
1
 u n d e r  w h i c h  t h e  c r e a t i o n  o f  a  t r u s t  h a s  b e e n  i n f e r r e d
................................................................................................................ 37 b.",0.18431474133756645
"Views of
different High Courts on the issue .......................................... 55 c. Section 5 of the
Societies Registration Act, 1860 and the ‘vesting’ of properties in the Executive
Committee.",0.1332209514829465
"................................................. 82 d. The doctrine of constructive trust
and its applicability to a society functioning for public purposes of a religious or
charitable nature ..... 99 B.",0.13537177044781307
"A breach of trust or the directions of the court being
n e c e s s a r y  f o r  t h e  a d m i n i s t r a t i o n  o f  t h e
trust.............................................................................. 129 C. The institution of the suit
must be made by two or more persons “having an interest in the trust”
....................................................................................... 136 D. The reliefs falling within
the scope of those enumerated under Section 92(1) of the CPC along with the object,
p u r p o s e  a n d  c a p a c i t y  i n  w h i c h  t h e  s u i t  i s  b r o u g h t .",0.19926580815833023
".......................................................................................................... 140 F.
CONCLUSION ................................................................................................... 157
1.",0.15205560299313786
Leave granted.,0.011038936256477836
2.,0.005200085959905264
"This appeal arises from the judgment and order passed by the High Court of Delhi
dated 21.08.2024 in FAO(OS) No.",0.0835551231119098
"114 of 2024 (hereinafter, the “impugned
decision”), by which the High Court dismissed the appeal filed by the appellant
herein against the judgment and order dated 03.05.2024 passed by a learned Single
Judge of the High Court in CS(OS) No.",0.07785147684943557
"153 of 2020 allowing the application under
Section 92 of the Code of Civil Procedure, 1908 (hereinafter, the “CPC”) filed by the
respondent nos.",0.18483596092672977
"1 and 2 respectively, seeking leave to institute the subject suit.",0.025022761739317622
A.,0.4006175774246106
"FACTUAL MATRIX
3.",0.11522598134085145
"Operation ASHA (hereinafter, the “appellant Society/original defendant no.",0.22501026357264464
"1”) is a
not-for-profit society founded in the year 2005 and registered under the Societies
Registration Act, 1860 with its registered office in New Delhi.",0.07410982118395454
"The appellant Society is
engaged in providing health services through a plethora of activities primarily to the
underprivileged sections of the society across India with special emphasis on the
treatment, education and prevention of tuberculosis and other diseases.",0.07796097248078349
"The same
can be inferred from the Memorandum of Association (hereinafter, the “MoA”) of the
appellant Society.",0.12768862222418717
"The aims and objectives of the appellant Society are as follows:
“4.",0.06986727918288027
"AIMS AND OBJECTS MAIN OBJECTIVES OF THE SOCIETY ARE GIVEN
BELOW.",0.09857645494454363
"4.1.1 To develop, establish, maintain and provide health and all other related services,
and to help, aid, assist, arrange, co-
Operation Asha vs Shelly Batra on 5 August, 2025
Indian Kanoon - http://indiankanoon.org/doc/103180344/
2
 ordinate, organize maintain and carry on activities connected with one of health quality of life,
nursing facilities, socio-economic aspects, general welfare and problems of the society with special
emphasis on provision of services for the underprivileged sections of the society as per Govt.",0.09786301561802668
rule.,0.0449115500819732
"4.1.2 To develop, establish, make and provide microcredit microfinance and all other related
services, and to help, aid, assist, arrange, contribute, co-ordinate, organize maintain and carry on
activities connected with concerns of microcredit and micro finance.",0.1256798016848458
"Socio-economic aspects,
general welfare and problems of the society with special emphasis on provision of services for the
underprivileged sections of the society as per Govt.",0.08010212521665112
rule.,0.0449115500819732
"4.1.3 To establish hospitals, medical schools and colleges, nursing schools and colleges,
dispensaries, laboratories research institutions and other educational institutions as per Govt.",0.07567478403047634
rule.,0.0449115500819732
"4.1.4 To purchase or otherwise deal in medicines and equipment required for maintenance of health,
hygiene and microcredit/ microfinance.",0.09989785871404722
"4.1.5 To aid, promote establish, maintain, run and encourage alternative systems of medicine and
establish training and research centers for this purpose as Govt, rule.",0.12298829860762156
"4.1.6 To aid, promote, establish, maintain, run and encourage microcredit/microfinance as per
Govt.",0.11720737406878408
rule.,0.0449115500819732
"4.1.7 To open centers and institutes for diagnostic, curative, therapeutic and research of medical
sciences as per Govt.",0.12638100651385015
"rule, 4.1.8 To provide free medicines to the poor.”
4.",0.25191625697429376
