Sentence,Score
"Operation Asha vs Shelly Batra on 5 August, 2025
                                                                             REPORTABLE
                             IN THE SUPREME COURT OF INDIA
                             CIVIL APPELLATE JURISDICTION
                              CIVIL APPEAL NO.",0.007092217463734491
"10048 OF 2025
                          (Arising out of S.L.P (Civil) No.",0.0035207592743596505
"29830 of 2024)
                  OPERATION ASHA                                  …APPELLANT(S)
                                             VERSUS
                  SHELLY BATRA & ORS.",0.01892456580886457
"…RESPONDENT(S)
                                        JUDGMENT
J.B. PARDIWALA, J.",0.005315765510373548
"For the convenience of exposition, this judgment is divided into the following parts: -
I
N
D
E
X
 
A
.",0.006062981333470398
"F
A
C
T
U
A
L
 
M
A
T
R
I
X
............................................................................................. 2 B.",0.010492017614229732
"THE IMPUGNED
JUDGMENT ........................................................................ 15 C. SUBMISSIONS OF
THE PARTIES .................................................................. 18 i. Submissions on behalf
of the Appellant .......................................................... 18 ii.",0.012972937643393613
"Submissions on behalf of
the respondent no.",0.00832506524042064
1 .............................................. 22 iii.,0.008737658737658738
"Submissions on behalf of the
respondent nos.",0.005213447734270706
"3 and 4 .................................. 24 D. ISSUES FOR DETERMINATION
.................................................................... 25 E. ANALYSIS
............................................................................................................ 25 i.",0.006050128046185185
"The Object
and purpose behind Section 92 of the CPC................................ 25 ii.",0.004636134239440193
"Conditions to be
fulfilled for the applicability of Section 92 of the CPC .... 33 A.",0.005557942455295555
"The trust being created
f o r  a  p u b l i c  p u r p o s e  o f  a  c h a r i t a b l e  o r  r e l i g i o u s  n a t u r e … .",0.009473043131805728
.......................................................................................................... 36 I.,0.003375960972455518
"Whether a
Society can be construed to be a ‘trust or a ‘constructive trust’?........",0.005072501744222887
........................................................................................................ 37 a.,0.003992522428746306
"Circumstances
Operation Asha vs Shelly Batra on 5 August, 2025
Indian Kanoon - http://indiankanoon.org/doc/103180344/
1
 u n d e r  w h i c h  t h e  c r e a t i o n  o f  a  t r u s t  h a s  b e e n  i n f e r r e d
................................................................................................................ 37 b.",0.011410655631188779
"Views of
different High Courts on the issue .......................................... 55 c. Section 5 of the
Societies Registration Act, 1860 and the ‘vesting’ of properties in the Executive
Committee.",0.008338976063865784
"................................................. 82 d. The doctrine of constructive trust
and its applicability to a society functioning for public purposes of a religious or
charitable nature ..... 99 B.",0.014381267997325807
"A breach of trust or the directions of the court being
n e c e s s a r y  f o r  t h e  a d m i n i s t r a t i o n  o f  t h e
trust.............................................................................. 129 C. The institution of the suit
must be made by two or more persons “having an interest in the trust”
....................................................................................... 136 D. The reliefs falling within
the scope of those enumerated under Section 92(1) of the CPC along with the object,
p u r p o s e  a n d  c a p a c i t y  i n  w h i c h  t h e  s u i t  i s  b r o u g h t .",0.005834341820399909
".......................................................................................................... 140 F.
CONCLUSION ................................................................................................... 157
1.",0.005369773925864744
Leave granted.,0.0036592312841082263
2.,0.006312600200014091
"This appeal arises from the judgment and order passed by the High Court of Delhi
dated 21.08.2024 in FAO(OS) No.",0.006166807180412888
"114 of 2024 (hereinafter, the “impugned
decision”), by which the High Court dismissed the appeal filed by the appellant
herein against the judgment and order dated 03.05.2024 passed by a learned Single
Judge of the High Court in CS(OS) No.",0.006607474741406485
"153 of 2020 allowing the application under
Section 92 of the Code of Civil Procedure, 1908 (hereinafter, the “CPC”) filed by the
respondent nos.",0.006046539557555258
"1 and 2 respectively, seeking leave to institute the subject suit.",0.00938286103428627
A.,0.006510004997811437
"FACTUAL MATRIX
3.",0.003981263990310255
"Operation ASHA (hereinafter, the “appellant Society/original defendant no.",0.0028978228650089932
"1”) is a
not-for-profit society founded in the year 2005 and registered under the Societies
Registration Act, 1860 with its registered office in New Delhi.",0.012319579775097178
"The appellant Society is
engaged in providing health services through a plethora of activities primarily to the
underprivileged sections of the society across India with special emphasis on the
treatment, education and prevention of tuberculosis and other diseases.",0.007680262161967141
"The same
can be inferred from the Memorandum of Association (hereinafter, the “MoA”) of the
appellant Society.",0.014007517834908657
"The aims and objectives of the appellant Society are as follows:
“4.",0.004057847463534082
"AIMS AND OBJECTS MAIN OBJECTIVES OF THE SOCIETY ARE GIVEN
BELOW.",0.005095122628877366
"4.1.1 To develop, establish, maintain and provide health and all other related services,
and to help, aid, assist, arrange, co-
Operation Asha vs Shelly Batra on 5 August, 2025
Indian Kanoon - http://indiankanoon.org/doc/103180344/
2
 ordinate, organize maintain and carry on activities connected with one of health quality of life,
nursing facilities, socio-economic aspects, general welfare and problems of the society with special
emphasis on provision of services for the underprivileged sections of the society as per Govt.",0.012973959384127712
rule.,0.014958508903357344
"4.1.2 To develop, establish, make and provide microcredit microfinance and all other related
services, and to help, aid, assist, arrange, contribute, co-ordinate, organize maintain and carry on
activities connected with concerns of microcredit and micro finance.",0.004527152122834292
"Socio-economic aspects,
general welfare and problems of the society with special emphasis on provision of services for the
underprivileged sections of the society as per Govt.",0.0042563074129553305
rule.,0.0027975858237956706
"4.1.3 To establish hospitals, medical schools and colleges, nursing schools and colleges,
dispensaries, laboratories research institutions and other educational institutions as per Govt.",0.010430744982467335
rule.,0.0032271706249834844
"4.1.4 To purchase or otherwise deal in medicines and equipment required for maintenance of health,
hygiene and microcredit/ microfinance.",0.006006757084498675
"4.1.5 To aid, promote establish, maintain, run and encourage alternative systems of medicine and
establish training and research centers for this purpose as Govt, rule.",0.011547856804787152
"4.1.6 To aid, promote, establish, maintain, run and encourage microcredit/microfinance as per
Govt.",0.0127205816930788
rule.,0.003820957589222137
