Sentence,Score
"Operation Asha vs Shelly Batra on 5 August, 2025
                                                                             REPORTABLE
                             IN THE SUPREME COURT OF INDIA
                             CIVIL APPELLATE JURISDICTION
                              CIVIL APPEAL NO.",0.1275509
"10048 OF 2025
                          (Arising out of S.L.P (Civil) No.",0.26229012
"29830 of 2024)
                  OPERATION ASHA                                  …APPELLANT(S)
                                             VERSUS
                  SHELLY BATRA & ORS.",0.17384478
"…RESPONDENT(S)
                                        JUDGMENT
J.B. PARDIWALA, J.",0.27247584
"For the convenience of exposition, this judgment is divided into the following parts: -
I
N
D
E
X
 
A
.",0.15336944
"F
A
C
T
U
A
L
 
M
A
T
R
I
X
............................................................................................. 2 B.",0.6295034
"THE IMPUGNED
JUDGMENT ........................................................................ 15 C. SUBMISSIONS OF
THE PARTIES .................................................................. 18 i. Submissions on behalf
of the Appellant .......................................................... 18 ii.",0.69569206
"Submissions on behalf of
the respondent no.",0.25911674
1 .............................................. 22 iii.,0.48988298
"Submissions on behalf of the
respondent nos.",0.24705218
"3 and 4 .................................. 24 D. ISSUES FOR DETERMINATION
.................................................................... 25 E. ANALYSIS
............................................................................................................ 25 i.",0.6930866
"The Object
and purpose behind Section 92 of the CPC................................ 25 ii.",0.38780797
"Conditions to be
fulfilled for the applicability of Section 92 of the CPC .... 33 A.",0.11413965
"The trust being created
f o r  a  p u b l i c  p u r p o s e  o f  a  c h a r i t a b l e  o r  r e l i g i o u s  n a t u r e … .",0.36853182
.......................................................................................................... 36 I.,0.6272929
"Whether a
Society can be construed to be a ‘trust or a ‘constructive trust’?........",0.1387344
........................................................................................................ 37 a.,0.62427497
"Circumstances
Operation Asha vs Shelly Batra on 5 August, 2025
Indian Kanoon - http://indiankanoon.org/doc/103180344/
1
 u n d e r  w h i c h  t h e  c r e a t i o n  o f  a  t r u s t  h a s  b e e n  i n f e r r e d
................................................................................................................ 37 b.",0.44086003
"Views of
different High Courts on the issue .......................................... 55 c. Section 5 of the
Societies Registration Act, 1860 and the ‘vesting’ of properties in the Executive
Committee.",0.2846099
"................................................. 82 d. The doctrine of constructive trust
and its applicability to a society functioning for public purposes of a religious or
charitable nature ..... 99 B.",0.39436692
"A breach of trust or the directions of the court being
n e c e s s a r y  f o r  t h e  a d m i n i s t r a t i o n  o f  t h e
trust.............................................................................. 129 C. The institution of the suit
must be made by two or more persons “having an interest in the trust”
....................................................................................... 136 D. The reliefs falling within
the scope of those enumerated under Section 92(1) of the CPC along with the object,
p u r p o s e  a n d  c a p a c i t y  i n  w h i c h  t h e  s u i t  i s  b r o u g h t .",0.48272002
".......................................................................................................... 140 F.
CONCLUSION ................................................................................................... 157
1.",0.69176966
Leave granted.,0.6199374
2.,0.41985747
"This appeal arises from the judgment and order passed by the High Court of Delhi
dated 21.08.2024 in FAO(OS) No.",0.14906476
"114 of 2024 (hereinafter, the “impugned
decision”), by which the High Court dismissed the appeal filed by the appellant
herein against the judgment and order dated 03.05.2024 passed by a learned Single
Judge of the High Court in CS(OS) No.",0.18134679
"153 of 2020 allowing the application under
Section 92 of the Code of Civil Procedure, 1908 (hereinafter, the “CPC”) filed by the
respondent nos.",0.17769292
"1 and 2 respectively, seeking leave to institute the subject suit.",0.26151878
A.,0.4995597
"FACTUAL MATRIX
3.",0.29325533
"Operation ASHA (hereinafter, the “appellant Society/original defendant no.",0.16902778
"1”) is a
not-for-profit society founded in the year 2005 and registered under the Societies
Registration Act, 1860 with its registered office in New Delhi.",0.115127936
"The appellant Society is
engaged in providing health services through a plethora of activities primarily to the
underprivileged sections of the society across India with special emphasis on the
treatment, education and prevention of tuberculosis and other diseases.",0.15688859
"The same
can be inferred from the Memorandum of Association (hereinafter, the “MoA”) of the
appellant Society.",0.1371065
"The aims and objectives of the appellant Society are as follows:
“4.",0.1621674
